Year,Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity
2015,Canada,5,7.427,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811
2016,Canada,6,7.404,1.44015,1.0961,0.8276,0.5737,0.31329,0.44834
2017,Canada,7,7.31599998474121,1.47920441627502,1.48134899139404,0.83455765247345,0.611100912094116,0.287371516227722,0.435539722442627
2018,Canada,7,7.328,1.33,1.532,0.896,0.653,0.291,0.321
2019,Canada,9,7.278,1.365,1.505,1.039,0.584,0.308,0.285
2020,Canada,11,7.23210001,1.301647663,1.435391903,1.022501945,0.644028127,0.351701856,0.28152892
2021,Canada,14,7.103,1.447,1.044,0.798,0.648,0.335,0.246
2022,Canada,15,7.025,1.886,1.188,0.783,0.659,0.368,0.217
2023,Canada,13,6.961,1.881,1.484,0.541,0.656,0.364,0.218
